round,strategy,dataset,cost,f1,ece
22,Margin,yahoo_answers_topics,106.8942373560463,0.5285814130399737,0.24200278520584106
23,Margin,yahoo_answers_topics,113.07948657923725,0.6128194823446894,0.375753253698349
24,Margin,yahoo_answers_topics,118.86456735561454,0.5802078813209508,0.2577289044857025
25,Margin,yahoo_answers_topics,124.72943718212072,0.5764587510644904,0.34270137548446655
26,Margin,yahoo_answers_topics,130.66174036932895,0.5400689922691069,0.3470532298088074
27,Margin,yahoo_answers_topics,138.52416934742266,0.5690067249551348,0.29367053508758545
28,Margin,yahoo_answers_topics,144.8105005093974,0.014935064935064935,0.10181178897619247
29,Margin,yahoo_answers_topics,151.32486475118543,0.6075168188525726,0.30103328824043274
30,Margin,yahoo_answers_topics,156.83683109048735,0.6228056546781362,0.30887120962142944
31,Margin,yahoo_answers_topics,161.63819132342803,0.6518602503246652,0.300356388092041
32,Margin,yahoo_answers_topics,168.51132526390373,0.6396148738992868,0.27026501297950745
33,Margin,yahoo_answers_topics,175.46047246351378,0.6444906081525872,0.3002113997936249
34,Margin,yahoo_answers_topics,180.02142440044156,0.6506850854974169,0.3233250677585602
35,Margin,yahoo_answers_topics,185.3909362951617,0.585529940459306,0.2098310887813568
36,Margin,yahoo_answers_topics,191.9094914424941,0.6073907294543562,0.18000489473342896
37,Margin,yahoo_answers_topics,198.57786400509983,0.5904238866216434,0.17544935643672943
38,Margin,yahoo_answers_topics,203.12278842217515,0.5883162389273642,0.18200117349624634
39,Margin,yahoo_answers_topics,210.9774524419766,0.6211160768008408,0.21140140295028687
0,CoreSet,yahoo_answers_topics,4.362607253938527,0.0,0.0
1,CoreSet,yahoo_answers_topics,9.25895710621861,0.013664596273291927,0.04560413956642151
2,CoreSet,yahoo_answers_topics,13.49361161985387,0.0524749373433584,0.035113438963890076
3,CoreSet,yahoo_answers_topics,17.974756825787352,0.01818181818181818,0.01172485202550888
4,CoreSet,yahoo_answers_topics,22.878151947810252,0.01834862385321101,0.009736940264701843
5,CoreSet,yahoo_answers_topics,27.850983529607014,0.048095238095238094,0.019887275993824005
6,CoreSet,yahoo_answers_topics,34.42163373951696,0.11438728336863202,0.0464819073677063
7,CoreSet,yahoo_answers_topics,39.9127140157321,0.1373637301499625,0.04977322369813919
8,CoreSet,yahoo_answers_topics,44.37008043636467,0.2958347412826287,0.24553517997264862
9,CoreSet,yahoo_answers_topics,48.89996389446083,0.1624992447576663,0.15755493938922882
10,CoreSet,yahoo_answers_topics,54.11475138329034,0.277386462144391,0.18094535171985626
11,CoreSet,yahoo_answers_topics,59.979015804830965,0.44300485791289923,0.3196759819984436
12,CoreSet,yahoo_answers_topics,63.80230268296872,0.3739226502708684,0.3141571879386902
13,CoreSet,yahoo_answers_topics,68.82960692003697,0.4031730906299688,0.33297306299209595
14,CoreSet,yahoo_answers_topics,73.89137039569172,0.43649687202253357,0.33163562417030334
15,CoreSet,yahoo_answers_topics,77.74847957391229,0.5265235114415442,0.36004096269607544
16,CoreSet,yahoo_answers_topics,83.78766124708868,0.5701855894894746,0.38733184337615967
